id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
0,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,40378,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429296,1725263430001,705,31,3417,1725263429296,1725263430001,705,13,1447,1725263429296,1725263429503,207,18,1970,59,110.225806451613,34.0780571408439,157,67,111.307692307692,28.9579713129926,144,59,109.444444444444,38.1563690192349,157,0,23.5,66.6647557197386,352,0,58.75,101.256761839305,352,0,12.1764705882353,21.5761306022351,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
1,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,55939,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429294,1725263429883,589,41,4491,1725263429294,1725263429883,589,11,1159,1725263429294,1725263429569,275,30,3332,59,109.536585365854,36.8585794361202,157,67,105.363636363636,27.4527693585646,144,59,111.066666666667,40.06196350081,157,0,14.725,52.0886756234513,314,0,58.9,117.594831708049,381,0,9.48275862068966,22.2816719840308,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
2,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,46972,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429293,1725263429930,637,48,5316,1725263429293,1725263429930,637,12,1303,1725263429293,1725263429572,279,36,4013,59,110.75,37.5842316415423,157,67,108.583333333333,28.452379141082,144,59,111.472222222222,40.5007838450504,157,0,13.5531914893617,45.7287886255276,293,0,57.9090909090909,103.872474260946,358,0,7.97142857142857,19.4263098041044,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
3,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,45698,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429293,1725263430213,920,51,5699,1725263429293,1725263430213,920,12,1303,1725263429293,1725263429491,198,39,4396,59,111.745098039216,37.951465393186,157,67,108.583333333333,28.452379141082,144,59,112.717948717949,40.7023526527765,157,0,18.4,88.2889504723564,612,0,83.6363636363636,181.617880577477,612,0,5.21052631578947,17.5655650461686,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
4,1,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,43957,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263429552,1725263430327,775,59,6534,1725263429552,1725263430327,775,11,1159,1725263429553,1725263429809,256,48,5375,59,110.745762711864,38.7412251334322,157,67,105.363636363636,27.4527693585646,144,59,111.979166666667,41.0300821574119,157,0,13.3620689655172,68.5741238793448,518,0,77.5,171.74674507671,562,0,5.4468085106383,14.8071787974886,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
5,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,54625,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429292,1725263430081,789,56,6224,1725263429292,1725263430081,789,12,1303,1725263429292,1725263429489,197,44,4921,59,111.142857142857,38.3507395075926,157,67,108.583333333333,28.452379141082,144,59,111.840909090909,40.8877892625933,157,0,14.3454545454545,68.6969238035251,496,0,71.7272727272727,148.149985426318,496,0,4.58139534883721,15.4522807041234,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
6,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,50355,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429298,1725263429852,554,25,2675,1725263429298,1725263429852,554,11,1159,1725263429298,1725263429610,312,14,1516,59,107,32.2942203291342,157,67,105.363636363636,27.4527693585646,144,59,108.285714285714,36.6279182537637,157,0,23.0833333333333,51.7518465679091,242,0,55.4,96.9492421608109,315,0,24,27.9672427433715,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
7,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,48829,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263429293,1725263429972,679,53,5914,1725263429293,1725263429972,679,13,1447,1725263429293,1725263429480,187,40,4467,59,111.584905660377,37.9054664021432,157,67,111.307692307692,28.9579713129926,144,59,111.675,40.715011721565,157,0,13.0576923076923,40.0697497075906,193,0,56.5833333333333,80.3101469116431,239,0,4.79487179487179,14.6362554299058,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
8,1,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,56531,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263429554,1725263430225,671,56,6297,1725263429554,1725263430225,671,13,1447,1725263429554,1725263429759,205,43,4850,59,112.446428571429,38.2018179685718,157,67,111.307692307692,28.9579713129926,144,59,112.790697674419,40.8776095072287,157,0,12.2,44.0872031487764,290,0,55.9166666666667,88.0634671269775,290,0,4.88095238095238,13.3109204771457,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
9,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,60815,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263429810,1725263430801,991,54,5997,1725263429810,1725263430801,991,12,1303,1725263429810,1725263430049,239,42,4694,59,111.055555555556,38.1824896480477,157,67,108.583333333333,28.452379141082,144,59,111.761904761905,40.8057919871435,157,0,18.6981132075472,77.1221770224314,507,0,90.0909090909091,170.381603787178,557,0,5.82926829268293,15.3442211255971,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
10,0,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,57658,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263429557,1725263429561,4,18,1942,1725263429557,1725263429557,0,1,67,1725263429557,1725263429561,4,17,1875,59,107.888888888889,44.3686281442045,156,67,67,0,67,59,110.294117647059,44.5080957606062,156,0,0.235294117647059,0.562295714538387,2,0,0,0,0,0,0.25,0.577350269189626,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
11,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,45863,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263429830,1725263430254,424,42,4635,1725263429830,1725263430254,424,12,1303,1725263429830,1725263430076,246,30,3332,59,110.357142857143,36.7926433716277,157,67,108.583333333333,28.452379141082,144,59,111.066666666667,40.06196350081,157,0,10.3414634146341,28.1145956365173,150,0,38.5454545454545,59.0869928772207,197,0,8.48275862068966,19.6879598624844,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
12,1,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,42125,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263429557,1725263430224,667,35,3810,1725263429557,1725263430224,667,11,1159,1725263429557,1725263429863,306,24,2651,59,108.857142857143,35.7253764292051,157,67,105.363636363636,27.4527693585646,144,59,110.458333333333,39.3766419027351,157,0,19.6176470588235,63.5691056590849,361,0,66.7,131.244513112824,431,0,13.304347826087,24.6547704817928,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
13,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,43126,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263429835,1725263430824,989,23,2448,1725263429835,1725263430824,989,11,1159,1725263429835,1725263430106,271,12,1289,59,106.434782608696,31.1343512231579,157,67,105.363636363636,27.4527693585646,144,59,107.416666666667,35.374511453956,157,0,44.9545454545454,152.117585243323,718,0,98.9,237.203827025526,769,0,24.6363636363636,29.1728391736997,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
14,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,35020,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263429831,1725263430669,838,38,4181,1725263429831,1725263430669,838,12,1303,1725263429831,1725263430113,282,26,2878,59,110.026315789474,36.1053165525112,157,67,108.583333333333,28.452379141082,144,59,110.692307692308,39.6441866918914,157,0,22.6486486486486,92.1379449570094,555,0,76.1818181818182,177.428192901702,603,0,11.28,23.6933886699785,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
15,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,33909,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263430189,1725263431061,872,60,6678,1725263430189,1725263431061,872,12,1303,1725263430189,1725263430403,214,48,5375,59,111.3,38.650673684571,157,67,108.583333333333,28.452379141082,144,59,111.979166666667,41.0300821574119,157,0,14.7796610169492,78.9264318727191,600,0,79.2727272727273,175.982437140239,600,0,4.5531914893617,15.1611754027506,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
