RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,526,526.000
0,0,0,0.000,0.000,0,820,820.000
0,0,0,0.000,0.000,0,699,699.000
0,0,0,0.000,0.000,0,792,792.000
0,0,0,0.000,0.000,0,647,647.000
0,0,0,0.000,0.000,0,516,516.000
0,0,0,0.000,0.000,0,550,550.000
0,0,0,0.000,0.000,0,833,833.000
0,0,0,0.000,0.000,0,736,736.000
0,0,0,0.000,0.000,0,713,713.000
0,0,0,0.000,0.000,0,751,751.000
0,0,0,0.000,0.000,0,793,793.000
0,0,0,0.000,0.000,0,1033,1033.000
0,0,0,0.000,0.000,0,944,944.000
0,0,0,0.000,0.000,0,1031,1031.000
0,0,0,0.000,0.000,0,760,760.000
0,0,0,0.000,0.000,0,807,807.000
0,0,0,0.000,0.000,0,780,780.000
0,0,0,0.000,0.000,0,970,970.000
0,0,0,0.000,0.000,0,962,962.000
0,0,0,0.000,0.000,0,756,756.000
0,0,0,0.000,0.000,0,946,946.000
0,0,0,0.000,0.000,0,890,890.000
0,0,0,0.000,0.000,0,903,903.000
59,0,0.000,59.000,0.000,0.000,1054,1054.000
779,0,0.000,779.000,0.000,0.000,779,779.000
892,0,0.000,892.000,0.000,0.000,892,892.000
1112,0,0.000,1112.000,0.000,0.000,1112,1112.000
1004,0,0.000,1004.000,0.000,0.000,1004,1004.000
268,0,0.000,268.000,0.000,0.000,1145,1145.000
0,0,0,0.000,0.000,0,948,948.000
0,0,0,0.000,0.000,0,1049,1049.000
0,0,0,0.000,0.000,0,899,899.000
0,0,0,0.000,0.000,0,932,932.000
0,0,0,0.000,0.000,0,992,992.000
0,0,0,0.000,0.000,0,995,995.000
0,0,0,0.000,0.000,0,944,944.000
0,0,0,0.000,0.000,0,845,845.000
0,0,0,0.000,0.000,0,1048,1048.000
0,0,0,0.000,0.000,0,852,852.000
0,0,0,0.000,0.000,0,1031,1031.000
0,0,0,0.000,0.000,0,907,907.000
0,0,0,0.000,0.000,0,779,779.000
0,0,0,0.000,0.000,0,954,954.000
0,0,0,0.000,0.000,0,962,962.000
0,0,0,0.000,0.000,0,938,938.000
0,0,0,0.000,0.000,0,906,906.000
0,0,0,0.000,0.000,0,946,946.000
0,0,0,0.000,0.000,0,971,971.000
0,0,0,0.000,0.000,0,985,985.000
0,0,0,0.000,0.000,0,907,907.000
0,0,0,0.000,0.000,0,898,898.000
0,0,0,0.000,0.000,0,966,966.000
0,0,0,0.000,0.000,0,973,973.000
0,0,0,0.000,0.000,0,976,976.000
0,0,0,0.000,0.000,0,901,901.000
0,0,0,0.000,0.000,0,959,959.000
0,0,0,0.000,0.000,0,842,842.000
0,0,0,0.000,0.000,0,983,983.000
0,0,0,0.000,0.000,0,1020,1020.000
0,0,0,0.000,0.000,0,912,912.000
0,0,0,0.000,0.000,0,943,943.000
0,0,0,0.000,0.000,0,913,913.000
0,0,0,0.000,0.000,0,948,948.000
0,0,0,0.000,0.000,0,973,973.000
0,0,0,0.000,0.000,0,992,992.000
0,0,0,0.000,0.000,0,945,945.000
0,0,0,0.000,0.000,0,942,942.000
0,0,0,0.000,0.000,0,1103,1103.000
0,0,0,0.000,0.000,0,945,945.000
0,0,0,0.000,0.000,0,918,918.000
0,0,0,0.000,0.000,0,911,911.000
0,0,0,0.000,0.000,0,899,899.000
0,0,0,0.000,0.000,0,964,964.000
0,0,0,0.000,0.000,0,880,880.000
0,0,0,0.000,0.000,0,1069,1069.000
0,0,0,0.000,0.000,0,958,958.000
0,0,0,0.000,0.000,0,802,802.000
0,0,0,0.000,0.000,0,1105,1105.000
0,0,0,0.000,0.000,0,865,865.000
0,0,0,0.000,0.000,0,843,843.000
0,0,0,0.000,0.000,0,1119,1119.000
0,0,0,0.000,0.000,0,1168,1168.000
0,0,0,0.000,0.000,0,1169,1169.000
0,0,0,0.000,0.000,0,1028,1028.000
0,0,0,0.000,0.000,0,1090,1090.000
0,0,0,0.000,0.000,0,925,925.000
0,0,0,0.000,0.000,0,939,939.000
0,0,0,0.000,0.000,0,1240,1240.000
0,0,0,0.000,0.000,0,1032,1032.000
0,0,0,0.000,0.000,0,1175,1175.000
0,0,0,0.000,0.000,0,1023,1023.000
0,0,0,0.000,0.000,0,1083,1083.000
0,0,0,0.000,0.000,0,889,889.000
0,0,0,0.000,0.000,0,1005,1005.000
0,0,0,0.000,0.000,0,953,953.000
0,0,0,0.000,0.000,0,1119,1119.000
0,0,0,0.000,0.000,0,883,883.000
0,0,0,0.000,0.000,0,936,936.000
0,0,0,0.000,0.000,0,930,930.000
0,0,0,0.000,0.000,0,771,771.000
0,0,0,0.000,0.000,0,928,928.000
0,0,0,0.000,0.000,0,1276,1276.000
0,0,0,0.000,0.000,0,1016,1016.000
0,0,0,0.000,0.000,0,1155,1155.000
0,0,0,0.000,0.000,0,1618,1618.000
