RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate,label
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
1167,0,0,1167,0,0,1167,1167,malicious
1526,0,0,1526,0,0,1526,1526,malicious
1110,0,0,1110,0,0,1110,1110,malicious
1073,0,0,1073,0,0,1073,1073,malicious
1217,0,0,1217,0,0,1217,1217,malicious
1128,0,0,1128,0,0,1128,1128,malicious
1310,0,0,1310,0,0,1310,1310,malicious
1059,0,0,1059,0,0,1059,1059,malicious
993,0,0,993,0,0,993,993,malicious
1040,0,0,1040,0,0,1040,1040,malicious
1163,0,0,1163,0,0,1163,1163,malicious
1532,0,0,1532,0,0,1532,1532,malicious
1010,0,0,1010,0,0,1010,1010,malicious
995,0,0,995,0,0,995,995,malicious
1009,0,0,1009,0,0,1009,1009,malicious
900,0,0,900,0,0,900,900,malicious
976,0,0,976,0,0,976,976,malicious
1220,0,0,1220,0,0,1220,1220,malicious
1023,0,0,1023,0,0,1023,1023,malicious
1243,0,0,1243,0,0,1243,1243,malicious
79,0,0,79,0,0,7735,7735,malicious
0,0,0,0,0,0,2440,2440,malicious
0,0,0,0,0,0,1485,1485,malicious
0,0,0,0,0,0,1184,1184,malicious
0,0,0,0,0,0,289,289,malicious
0,0,0,0,0,0,1404,1404,malicious
0,0,0,0,0,0,1641,1641,malicious
0,0,0,0,0,0,947,947,malicious
0,0,0,0,0,0,1442,1442,malicious
0,0,0,0,0,0,2197,2197,malicious
0,0,0,0,0,0,1428,1428,malicious
0,0,0,0,0,0,1186,1186,malicious
0,0,0,0,0,0,1255,1255,malicious
0,0,0,0,0,0,1191,1191,malicious
0,0,0,0,0,0,1176,1176,malicious
0,0,0,0,0,0,1155,1155,malicious
0,0,0,0,0,0,1159,1159,malicious
0,0,0,0,0,0,985,985,malicious
0,0,0,0,0,0,1309,1309,malicious
0,0,0,0,0,0,1651,1651,malicious
0,0,0,0,0,0,1417,1417,malicious
0,0,0,0,0,0,891,891,malicious
0,0,0,0,0,0,948,948,malicious
0,0,0,0,0,0,1397,1397,malicious
0,0,0,0,0,0,1477,1477,malicious
0,0,0,0,0,0,1346,1346,malicious
0,0,0,0,0,0,2044,2044,malicious
0,0,0,0,0,0,2384,2384,malicious
0,0,0,0,0,0,6279,6279,malicious
0,0,0,0,0,0,2541,2541,malicious
0,0,0,0,0,0,2,2,malicious
0,0,0,0,0,0,2811,2811,malicious
0,0,0,0,0,0,7151,7151,malicious
0,0,0,0,0,0,1246,1246,malicious
0,0,0,0,0,0,1060,1060,malicious
