RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate,label
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,0,0,0,malicious
6,6,1,6,6,0.007,122,122,malicious
5,5,1,5,5,0.006,84,84,malicious
4,4,1,4,4,0.008,68,68,malicious
4,4,1,4,4,0.006,64,64,malicious
4,4,1,4,4,0.006,64,64,malicious
3,3,1,3,3,0.012,52,52,malicious
3,3,1,3,3,0.009,48,48,malicious
3,3,1,3,3,0.003,48,48,malicious
2,2,1,2,2,0.005,36,36,malicious
2,2,1,2,2,0.013,32,32,malicious
9,9,1,9,6,0.008,151,151,malicious
11,11,1,11,11,0.009,152,152,malicious
5,5,1,5,5,0.006,80,80,malicious
6,6,1,6,6,0.007,92,92,malicious
5,5,1,5,3,0.009,76,76,malicious
4,4,1,4,4,0.01,60,60,malicious
3,3,1,3,2,0.01,46,46,malicious
2,2,1,2,2,0.012,32,32,malicious
3,3,1,3,3,0.009,44,44,malicious
2,2,1,2,2,0.011,32,32,malicious
12,12,1,12,12,0.008,195,195,malicious
12,12,1,12,12,0.01,189,189,malicious
6,6,1,6,6,0.007,100,100,malicious
6,6,1,6,4,0.009,92,92,malicious
5,5,1,5,4,0.015,76,76,malicious
4,4,1,4,4,0.013,62,62,malicious
4,4,1,4,4,0.017,62,62,malicious
3,3,1,3,2,0.013,46,46,malicious
2,2,1,2,2,0.004,32,32,malicious
2,2,1,2,2,0.005,32,32,malicious
10,10,1,10,9,0.011,166,166,malicious
7,7,1,7,6,0.009,119,119,malicious
5,5,1,5,5,0.006,72,72,malicious
5,5,1,5,4,0.013,71,71,malicious
4,4,1,4,4,0.008,60,60,malicious
2,2,1,2,2,0.005,32,32,malicious
2,2,1,2,2,0.005,32,32,malicious
3,3,1,3,3,0.006,46,46,malicious
1,1,1,1,1,0,20,20,malicious
1,1,1,1,1,0,17,17,malicious
10,10,1,10,9,0.009,166,166,malicious
17,17,1,17,14,0.007,238,238,malicious
6,6,1,6,6,0.014,96,96,malicious
6,6,1,6,5,0.014,92,92,malicious
4,4,1,4,4,0.019,64,64,malicious
